Unnamed: 0,Car Make,Car Model,Year,Engine Size (L),Horsepower,Torque (lb-ft),0-60 MPH Time (seconds),Price (in USD),Engine Displacement Category,Acceleration Category
542,McLaren,Senna,2020,4.0,789.0,590.0,2.7,1500000.0,Medium,Fast
944,Mercedes-Benz,AMG C63,2022,4.0,469.0,479.0,3.8,71450.0,Medium,Fast
178,Audi,RS 6,2021,4.0,591.0,590.0,3.5,109000.0,Medium,Fast
361,Lotus,Evora GT,2021,3.5,416.0,317.0,3.8,104970.0,Medium,Fast
220,Dodge,Challenger SRT Hellcat,2022,6.2,717.0,656.0,3.5,69995.0,Extra Large,Fast
654,Nissan,370Z Nismo,2021,3.7,350.0,276.0,4.8,45000.0,Medium,Fast
436,Pagani,Huayra,2021,6.0,764.0,738.0,2.6,2600000.0,Large,Fast
455,Audi,TT RS,2022,2.5,394.0,354.0,3.6,69900.0,Medium,Fast
882,Aston Martin,DB11,2021,4.0,630.0,516.0,3.7,198995.0,Medium,Fast
669,BMW,M4,2022,3.0,473.0,406.0,4.1,71800.0,Medium,Fast
168,Rimac,C_Two,2022,4.0,1914.0,1696.0,1.9,2400000.0,Medium,Fast
633,Dodge,Challenger Hellcat,2021,6.2,717.0,656.0,3.5,64000.0,Extra Large,Fast
624,Bugatti,Chiron Pur Sport,2021,8.0,1500.0,1180.0,2.3,3599000.0,Extra Large,Fast
260,Ferrari,SF90 Stradale,2022,4.0,986.0,590.0,2.5,625000.0,Medium,Fast
788,Lotus,Evora GT,2021,3.5,416.0,317.0,3.8,98395.0,Medium,Fast
771,Lamborghini,Aventador SVJ,2020,6.5,759.0,531.0,2.8,573966.0,Extra Large,Fast
107,BMW,M4,2022,3.0,503.0,479.0,3.8,75000.0,Medium,Fast
508,Porsche,Cayman GT4,2022,4.0,414.0,309.0,4.2,102000.0,Medium,Fast
504,Lotus,Evora GT,2021,3.5,416.0,317.0,3.8,104400.0,Medium,Fast
945,Nissan,370Z Nismo,2021,3.7,350.0,276.0,4.9,47820.0,Medium,Fast
713,Nissan,370Z,2021,3.7,350.0,276.0,5.3,30090.0,Medium,Medium
76,BMW,M4,2022,3.0,473.0,406.0,4.1,72800.0,Medium,Fast
122,Lamborghini,Aventador,2021,6.5,730.0,509.0,2.9,417826.0,Extra Large,Fast
488,McLaren,570S,2022,3.8,562.0,443.0,3.1,198950.0,Medium,Fast
952,Mercedes-Benz,AMG GT 4-Door Coupe,2021,4.0,630.0,664.0,3.1,171200.0,Medium,Fast
126,Mercedes-Benz,SLS AMG,2021,6.2,622.0,468.0,3.7,239100.0,Extra Large,Fast
54,Aston Martin,Vantage,2021,4.0,503.0,505.0,3.5,142100.0,Medium,Fast
167,Porsche,Cayman GT4,2022,4.0,414.0,309.0,4.2,102900.0,Medium,Fast
482,Audi,RS5 Coupe,2022,2.9,444.0,443.0,3.7,76450.0,Medium,Fast
928,Aston Martin,DB11,2022,4.0,630.0,516.0,3.7,201495.0,Medium,Fast
236,Alfa Romeo,4C,2020,1.7,237.0,258.0,4.1,67150.0,Small,Fast
618,Aston Martin,DBS Superleggera,2021,5.2,715.0,664.0,3.2,307820.0,Large,Fast
662,Dodge,Challenger SRT Hellcat,2021,6.2,717.0,656.0,3.5,63000.0,Extra Large,Fast
631,Bugatti,Chiron,2021,8.0,1500.0,1180.0,2.5,3000000.0,Extra Large,Fast
797,Porsche,718 Cayman GT4,2022,4.0,414.0,309.0,4.2,102000.0,Medium,Fast
8,Ford,Mustang Shelby GT500,2022,5.2,760.0,625.0,3.5,81000.0,Large,Fast
777,Chevrolet,Camaro SS Convertible,2022,6.2,455.0,455.0,4.0,49000.0,Extra Large,Fast
36,Nissan,370Z Nismo,2021,3.7,350.0,276.0,4.5,45690.0,Medium,Fast
560,Mercedes-Benz,AMG C 63 S,2021,4.0,503.0,516.0,3.7,77400.0,Medium,Fast
151,McLaren,GT,2021,4.0,612.0,465.0,3.2,200000.0,Medium,Fast
293,Chevrolet,Camaro ZL1,2022,6.2,650.0,650.0,3.5,69000.0,Extra Large,Fast
353,Rolls-Royce,Wraith,2021,6.7,624.0,605.0,4.4,338000.0,Extra Large,Fast
705,Alfa Romeo,4C,2020,1.8,237.0,258.0,4.2,67150.0,Small,Fast
712,Mercedes-Benz,AMG C 63,2021,4.0,469.0,479.0,3.8,69900.0,Medium,Fast
439,Rimac,C_Two,2021,,1914.0,1732.0,1.8,2400000.0,,Fast
60,McLaren,600LT,2021,3.8,592.0,457.0,2.8,241000.0,Medium,Fast
117,Lamborghini,Urus,2021,4.0,641.0,627.0,3.6,222000.0,Medium,Fast
666,Ferrari,Roma,2022,3.9,612.0,560.0,3.3,222630.0,Medium,Fast
779,Nissan,370Z Coupe,2020,3.7,332.0,270.0,5.0,30090.0,Medium,Medium
867,McLaren,GT,2021,4.0,612.0,465.0,3.1,201500.0,Medium,Fast
304,McLaren,570S,2021,3.8,562.0,443.0,3.1,202500.0,Medium,Fast
815,Ford,Mustang GT,2022,5.0,460.0,420.0,4.5,43000.0,Large,Fast
345,Lexus,LC,2021,5.0,471.0,398.0,4.4,92950.0,Large,Fast
597,Chevrolet,Camaro,2021,6.2,455.0,455.0,4.0,25000.0,Extra Large,Fast
498,Bentley,Continental GT,2022,6.0,626.0,664.0,3.3,214425.0,Large,Fast
166,Pagani,Huayra,2020,6.0,720.0,738.0,3.0,2700000.0,Large,Fast
525,Porsche,Taycan,2021,,616.0,774.0,2.6,185000.0,,Fast
758,Mercedes-Benz,AMG GT R,2021,4.0,577.0,516.0,3.5,180000.0,Medium,Fast
536,Alfa Romeo,4C Spider,2020,1.8,237.0,258.0,4.1,68745.0,Small,Fast
937,Dodge,Charger SRT Hellcat,2022,6.2,717.0,650.0,3.5,78595.0,Extra Large,Fast
308,Audi,RS 7,2022,4.0,591.0,590.0,3.5,114000.0,Medium,Fast
845,Ferrari,Roma,2021,3.9,611.0,560.0,3.3,222620.0,Medium,Fast
427,McLaren,600LT Spider,2021,3.8,592.0,457.0,2.8,256500.0,Medium,Fast
864,Bugatti,Chiron,2022,8.0,1479.0,1180.0,2.4,2900000.0,Extra Large,Fast
38,Lamborghini,Urus,2021,4.0,641.0,626.0,3.5,218000.0,Medium,Fast
135,Aston Martin,Vantage,2021,4.0,503.0,505.0,3.6,146000.0,Medium,Fast
510,Rolls-Royce,Wraith,2021,6.8,624.0,605.0,4.4,335550.0,Extra Large,Fast
500,Dodge,Challenger SRT Hellcat,2022,6.2,717.0,656.0,3.5,71490.0,Extra Large,Fast
622,Tesla,Model S Plaid,2022,,1020.0,1050.0,1.98,131190.0,,Fast
163,Lotus,Evora GT,2021,3.5,416.0,317.0,3.8,105950.0,Medium,Fast
160,Jaguar,F-Type,2022,3.0,380.0,339.0,4.9,69900.0,Medium,Fast
686,Rimac,C_Two,2022,4.0,1914.0,1696.0,1.85,2400000.0,Medium,Fast
912,Mercedes-Benz,AMG C 63,2021,4.0,469.0,479.0,3.8,67600.0,Medium,Fast
704,Porsche,Boxster,2022,2.0,300.0,280.0,4.9,63000.0,Small,Fast
414,Dodge,Charger Hellcat,2021,6.2,717.0,650.0,3.6,71490.0,Extra Large,Fast
580,BMW,M5,2021,4.4,600.0,553.0,3.2,103500.0,Large,Fast
384,Mercedes-AMG,C 63 S,2022,4.0,503.0,516.0,3.7,81550.0,Medium,Fast
211,Jaguar,F-Type,2022,5.0,575.0,516.0,3.5,103200.0,Large,Fast
131,Ferrari,Portofino,2021,3.9,592.0,560.0,3.5,219750.0,Medium,Fast
823,Bugatti,Chiron Super Sport 300+,2021,8.0,1578.0,1180.0,2.4,5200000.0,Extra Large,Fast
156,Aston Martin,DB11,2022,4.0,503.0,513.0,3.7,204100.0,Medium,Fast
940,Ford,Mustang GT,2022,5.0,460.0,420.0,4.0,38500.0,Large,Fast
225,Audi,R8 Spyder,2022,5.2,562.0,406.0,3.5,183300.0,Large,Fast
322,Dodge,Challenger Hellcat Redeye,2022,6.2,797.0,707.0,3.4,82190.0,Extra Large,Fast
339,Aston Martin,DB11,2021,5.2,630.0,516.0,3.7,209000.0,Large,Fast
478,Alfa Romeo,4C Spider,2020,1.7,237.0,258.0,4.1,67150.0,Small,Fast
130,Dodge,Challenger SRT Hellcat,2021,6.2,717.0,656.0,3.5,65290.0,Extra Large,Fast
206,Bugatti,Chiron,2021,8.0,1500.0,1180.0,2.3,3000000.0,Extra Large,Fast
231,Bentley,Continental GT,2022,6.0,626.0,664.0,3.5,203825.0,Large,Fast
532,Aston Martin,DBS Superleggera,2021,5.2,715.0,664.0,3.4,307820.0,Large,Fast
284,Dodge,Challenger SRT Hellcat,2022,6.2,717.0,656.0,3.5,70000.0,Extra Large,Fast
499,Bugatti,Chiron,2022,8.0,1500.0,1180.0,2.3,3000000.0,Extra Large,Fast
863,Bentley,Continental GT,2021,4.0,542.0,568.0,3.3,202500.0,Medium,Fast
138,Lamborghini,Aventador,2021,6.5,730.0,507.0,2.8,517770.0,Extra Large,Fast
480,Maserati,GranTurismo,2021,4.7,454.0,384.0,4.7,134300.0,Large,Fast
887,Dodge,Charger,2021,6.2,797.0,707.0,3.3,72000.0,Extra Large,Fast
736,Audi,TT RS,2022,2.5,394.0,354.0,3.6,67800.0,Medium,Fast
251,Audi,RS7,2021,4.0,591.0,590.0,3.5,114000.0,Medium,Fast
894,Mercedes-Benz,SLS AMG,2021,6.2,622.0,468.0,3.6,254995.0,Extra Large,Fast
715,BMW,i8,2022,1.5,369.0,184.0,4.2,147500.0,Small,Fast
897,Bentley,Continental GT,2021,4.0,542.0,568.0,3.9,220000.0,Medium,Fast
729,Ferrari,Portofino,2022,3.9,591.0,561.0,3.4,250000.0,Medium,Fast
458,Porsche,718 Cayman,2022,2.0,300.0,280.0,4.9,60500.0,Small,Fast
956,McLaren,570S,2021,3.8,562.0,443.0,3.1,195000.0,Medium,Fast
656,Aston Martin,DBS Superleggera,2021,5.2,715.0,663.0,3.2,305000.0,Large,Fast
309,BMW,M2 CS,2022,3.0,444.0,406.0,4.0,84595.0,Medium,Fast
537,Subaru,WRX STI,2022,2.5,310.0,290.0,5.2,38170.0,Medium,Medium
632,Chevrolet,Camaro ZL1,2022,6.2,650.0,650.0,3.5,67000.0,Extra Large,Fast
119,Audi,RS7,2021,4.0,591.0,590.0,3.5,115000.0,Medium,Fast
269,Audi,RS 5 Coupe,2021,2.9,444.0,443.0,3.7,75100.0,Medium,Fast
844,Lamborghini,Aventador,2021,6.5,730.0,509.0,2.9,517000.0,Extra Large,Fast
444,McLaren,GT,2021,4.0,620.0,465.0,3.1,210000.0,Medium,Fast
270,Chevrolet,Camaro ZL1,2021,6.2,650.0,650.0,3.5,64195.0,Extra Large,Fast
933,Lotus,Evora GT,2021,3.5,416.0,317.0,3.8,99000.0,Medium,Fast
371,Jaguar,F-Type,2022,3.0,296.0,295.0,5.4,61600.0,Medium,Medium
492,Lamborghini,Aventador S,2021,6.5,729.0,507.0,2.9,417826.0,Extra Large,Fast
875,Jaguar,F-Type,2021,3.0,380.0,339.0,4.4,62750.0,Medium,Fast
426,Audi,TT RS,2022,2.5,394.0,354.0,3.6,69000.0,Medium,Fast
300,Tesla,Model S,2022,,1020.0,1050.0,1.98,119000.0,,Fast
325,Alfa Romeo,Giulia Quadrifoglio,2021,2.9,505.0,443.0,3.8,76950.0,Medium,Fast
447,Chevrolet,Camaro SS,2022,6.2,455.0,455.0,4.3,42500.0,Extra Large,Fast
456,McLaren,570S,2021,3.8,562.0,443.0,2.9,208800.0,Medium,Fast
258,Porsche,Panamera Turbo,2022,4.0,620.0,604.0,3.1,174300.0,Medium,Fast
939,Chevrolet,Camaro SS,2022,6.2,455.0,455.0,4.1,37500.0,Extra Large,Fast
783,Dodge,Challenger SRT Hellcat,2022,6.2,717.0,656.0,3.5,68000.0,Extra Large,Fast
592,Ferrari,Roma,2021,3.9,612.0,561.0,3.3,222630.0,Medium,Fast
413,Chevrolet,Camaro SS,2022,6.2,455.0,455.0,4.1,42000.0,Extra Large,Fast
643,Toyota,Supra,2021,3.0,382.0,368.0,3.9,43000.0,Medium,Fast
988,Pininfarina,Battista,2021,,1872.0,1696.0,1.9,2500000.0,,Fast
970,Ford,Mustang Mach 1,2021,5.0,480.0,420.0,4.0,52915.0,Large,Fast
926,Nissan,370Z,2021,3.7,332.0,270.0,5.3,33000.0,Medium,Medium
826,Chevrolet,Camaro ZL1,2022,6.2,650.0,650.0,3.5,63000.0,Extra Large,Fast
816,Dodge,Challenger R/T,2021,5.7,372.0,400.0,5.1,35000.0,Large,Medium
735,Ferrari,Portofino,2022,3.9,612.0,561.0,3.3,245000.0,Medium,Fast
773,Audi,TT RS Coupe,2022,2.5,394.0,354.0,3.5,68000.0,Medium,Fast
87,Jaguar,F-Type,2022,3.0,380.0,339.0,4.9,71900.0,Medium,Fast
280,Pininfarina,Battista,2022,,1874.0,1696.0,1.9,2500000.0,,Fast
175,Porsche,718 Cayman,2021,2.0,300.0,280.0,4.5,61500.0,Small,Fast
685,Pagani,Huayra,2021,6.0,764.0,737.0,3.0,2600000.0,Large,Fast
35,Ford,GT,2022,3.5,660.0,550.0,3.0,500000.0,Medium,Fast
706,Chevrolet,Camaro,2022,6.2,455.0,455.0,4.0,62195.0,Extra Large,Fast
190,BMW,M5,2022,4.4,600.0,553.0,3.2,104000.0,Large,Fast
995,BMW,M2,2021,3.0,405.0,406.0,4.0,58900.0,Medium,Fast
817,Aston Martin,Vantage,2021,4.0,503.0,505.0,3.6,151000.0,Medium,Fast
927,Alfa Romeo,Giulia Quadrifoglio,2021,2.9,505.0,443.0,3.8,75250.0,Medium,Fast
98,Rolls-Royce,Wraith,2021,6.8,624.0,605.0,4.4,330000.0,Extra Large,Fast
749,Aston Martin,Vantage,2022,4.0,503.0,505.0,3.5,152995.0,Medium,Fast
278,Rimac,C_Two,2022,,1914.0,1732.0,1.85,2400000.0,,Fast
768,Mercedes-Benz,SLS AMG Black Series,2021,6.2,622.0,468.0,3.5,335000.0,Extra Large,Fast
574,Porsche,Cayman GT4,2022,4.0,414.0,309.0,4.2,100200.0,Medium,Fast
730,Audi,TT RS,2022,2.5,394.0,354.0,3.6,70000.0,Medium,Fast
852,Nissan,370Z Nismo,2021,3.7,350.0,276.0,4.8,46610.0,Medium,Fast
235,Porsche,Cayman GT4,2021,4.0,414.0,309.0,4.2,100200.0,Medium,Fast
468,Dodge,Challenger SRT Hellcat,2021,6.2,717.0,656.0,3.6,71000.0,Extra Large,Fast
473,Maserati,GranTurismo,2019,4.7,454.0,384.0,4.7,150980.0,Large,Fast
819,Alfa Romeo,4C Spider,2020,1.7,237.0,258.0,4.1,69000.0,Small,Fast
249,Lamborghini,Aventador,2021,6.5,729.0,507.0,2.9,393695.0,Extra Large,Fast
4,McLaren,720S,2021,4.0,710.0,568.0,2.7,298000.0,Medium,Fast
873,Dodge,Challenger SRT Hellcat Redeye,2022,6.2,797.0,707.0,3.5,80190.0,Extra Large,Fast
718,Lamborghini,Aventador S,2021,6.5,729.0,507.0,2.9,417650.0,Extra Large,Fast
101,W Motors,Fenyr Supersport,2022,3.8,800.0,723.0,2.7,1700000.0,Medium,Fast
765,Audi,TT RS,2022,2.5,394.0,354.0,3.6,67600.0,Medium,Fast
486,Ford,GT,2021,3.5,647.0,550.0,2.8,500000.0,Medium,Fast
639,Porsche,Cayman GT4,2021,4.0,414.0,309.0,4.2,101000.0,Medium,Fast
48,McLaren,570S,2021,3.8,562.0,443.0,2.8,192500.0,Medium,Fast
32,BMW,M4,2022,3.0,503.0,479.0,3.8,72800.0,Medium,Fast
229,Chevrolet,Corvette Stingray,2021,6.2,495.0,470.0,2.9,60995.0,Extra Large,Fast
146,Nissan,370Z Nismo,2021,3.7,350.0,276.0,4.9,45790.0,Medium,Fast
27,Porsche,Cayman GT4,2022,4.0,414.0,309.0,3.8,100200.0,Medium,Fast
855,Ferrari,SF90 Stradale,2021,,986.0,590.0,2.5,625000.0,,Fast
266,Lexus,LC 500,2022,5.0,471.0,398.0,4.4,93050.0,Large,Fast
623,Rolls-Royce,Dawn,2021,6.6,563.0,605.0,4.3,346300.0,Extra Large,Fast
449,Nissan,370Z Nismo,2020,3.7,350.0,276.0,4.6,45790.0,Medium,Fast
332,Mercedes-AMG,C 63 S Coupe,2022,4.0,503.0,516.0,3.7,80900.0,Medium,Fast
502,Koenigsegg,Jesko,2021,5.0,1280.0,1106.0,2.5,2800000.0,Large,Fast
467,Nissan,370Z Nismo,2020,3.7,350.0,276.0,5.2,46200.0,Medium,Medium
794,Chevrolet,Camaro ZL1,2021,6.2,650.0,650.0,3.5,64500.0,Extra Large,Fast
634,Ferrari,812 Superfast,2021,6.5,789.0,530.0,2.8,340000.0,Extra Large,Fast
150,Audi,RS 3,2022,2.5,401.0,369.0,3.6,56200.0,Medium,Fast
63,Audi,RS5,2021,2.9,444.0,443.0,3.6,75400.0,Medium,Fast
591,Lamborghini,Aventador,2021,6.5,759.0,531.0,2.9,393695.0,Extra Large,Fast
137,Porsche,Cayman,2022,2.5,365.0,309.0,4.5,68900.0,Medium,Fast
963,Dodge,Charger Hellcat,2021,6.2,717.0,650.0,3.6,70000.0,Extra Large,Fast
673,Nissan,370Z Nismo,2021,3.7,350.0,276.0,5.0,47190.0,Medium,Medium
65,Chevrolet,Camaro SS,2021,6.2,455.0,455.0,4.0,42900.0,Extra Large,Fast
14,Koenigsegg,Jesko,2021,5.0,1280.0,1015.0,2.5,2800000.0,Large,Fast
172,Toyota,GR Supra,2022,3.0,382.0,368.0,3.9,43090.0,Medium,Fast
40,Audi,RS3,2022,2.5,394.0,369.0,3.9,57000.0,Medium,Fast
626,Porsche,Panamera Turbo S E-Hybrid,2021,,690.0,641.0,3.0,186350.0,,Fast
450,Aston Martin,Vantage,2022,4.0,503.0,505.0,3.6,146000.0,Medium,Fast
212,Porsche,Panamera Turbo S,2021,4.0,620.0,604.0,2.9,177700.0,Medium,Fast
248,Porsche,Cayman GT4,2021,4.0,414.0,309.0,4.2,102000.0,Medium,Fast
53,Nissan,370Z Nismo,2021,3.7,350.0,276.0,4.8,46100.0,Medium,Fast
402,Audi,RS 5,2021,2.9,444.0,443.0,3.5,75100.0,Medium,Fast
342,Dodge,Challenger Hellcat,2022,6.2,717.0,656.0,3.5,67500.0,Extra Large,Fast
289,Porsche,718 Cayman GT4,2022,4.0,414.0,309.0,4.2,102550.0,Medium,Fast
577,Alfa Romeo,Giulia Quadrifoglio,2021,2.9,505.0,443.0,3.8,74750.0,Medium,Fast
567,Chevrolet,Corvette Z06,2023,5.5,625.0,650.0,2.6,85000.0,Large,Fast
1003,Lotus,Evija,2021,,1972.0,1254.0,2.0,2000000.0,,Fast
311,Chevrolet,Camaro ZL1,2021,6.2,650.0,650.0,3.5,63000.0,Extra Large,Fast
230,Aston Martin,DB11,2022,5.2,630.0,516.0,3.5,207000.0,Large,Fast
177,Ferrari,SF90 Stradale,2022,4.0,986.0,590.0,2.5,507000.0,Medium,Fast
732,BMW,i8,2022,,369.0,184.0,4.2,148500.0,,Fast
479,Jaguar,F-Type,2022,3.0,380.0,339.0,4.9,70900.0,Medium,Fast
596,Mercedes-Benz,SL,2022,3.0,429.0,384.0,4.9,96250.0,Medium,Fast
109,Chevrolet,Camaro ZL1,2021,6.2,650.0,650.0,3.5,64000.0,Extra Large,Fast
751,Lexus,LC 500,2022,5.0,471.0,398.0,4.4,102550.0,Large,Fast
462,McLaren,GT,2021,4.0,612.0,465.0,3.2,208800.0,Medium,Fast
1,Lamborghini,Huracan,2021,5.2,630.0,443.0,2.8,274390.0,Large,Fast
918,Lamborghini,Aventador,2021,6.5,729.0,509.0,2.9,393695.0,Extra Large,Fast
743,Porsche,911 Turbo S,2022,3.8,640.0,590.0,2.6,208000.0,Medium,Fast
82,Acura,NSX,2022,3.5,573.0,476.0,2.9,159495.0,Medium,Fast
234,Lotus,Evora GT,2021,3.5,416.0,317.0,3.7,99800.0,Medium,Fast
34,Chevrolet,Camaro ZL1,2021,6.2,650.0,650.0,3.5,64695.0,Extra Large,Fast
655,Dodge,Charger Hellcat,2021,6.2,707.0,650.0,3.6,69995.0,Extra Large,Fast
515,W Motors,Fenyr SuperSport,2022,3.8,800.0,723.0,2.7,1550000.0,Medium,Fast
566,Audi,TT RS,2021,2.5,394.0,354.0,3.6,67895.0,Medium,Fast
437,McLaren,Speedtail,2021,4.0,1035.0,848.0,2.5,2300000.0,Medium,Fast
94,Mercedes-Benz,SLS AMG,2015,6.2,622.0,468.0,3.7,221580.0,Extra Large,Fast
405,Dodge,Viper ACR,2017,8.4,645.0,600.0,3.3,126190.0,Extra Large,Fast
750,Ferrari,F8 Spider,2021,3.9,710.0,568.0,2.9,274280.0,Medium,Fast
411,Audi,RS7 Sportback,2022,4.0,591.0,590.0,3.5,115045.0,Medium,Fast
279,Pagani,Huayra Roadster BC,2021,6.0,791.0,774.0,2.5,3500000.0,Large,Fast
13,Jaguar,F-Type,2022,3.0,296.0,295.0,5.4,70100.0,Medium,Medium
369,Dodge,Viper,2017,8.4,645.0,600.0,3.3,118795.0,Extra Large,Fast
810,Audi,RS 5,2022,2.9,444.0,443.0,3.5,76700.0,Medium,Fast
459,Lamborghini,Aventador,2021,6.5,730.0,509.0,2.9,393695.0,Extra Large,Fast
316,McLaren,765LT,2021,4.0,755.0,590.0,2.8,358000.0,Medium,Fast
185,Porsche,Taycan,2021,,750.0,774.0,2.6,185000.0,,Fast
996,Mercedes-Benz,SLS AMG,2021,6.3,622.0,468.0,3.6,254500.0,Extra Large,Fast
881,Porsche,Taycan,2021,2.0,402.0,254.0,5.1,81250.0,Small,Medium
617,Nissan,370Z Nismo,2021,3.7,350.0,276.0,5.0,48000.0,Medium,Medium
967,Porsche,Panamera Turbo S E-Hybrid,2021,,689.0,642.0,3.0,190000.0,,Fast
642,Tesla,Model S Plaid,2021,,1020.0,590.0,1.9,139990.0,,Fast
281,Acura,NSX,2022,3.5,573.0,476.0,2.9,157500.0,Medium,Fast
752,Porsche,Taycan,2022,4.0,469.0,479.0,3.8,79900.0,Medium,Fast
747,BMW,M5 Competition,2022,4.4,617.0,553.0,3.1,103500.0,Large,Fast
215,Audi,RS7,2022,4.0,591.0,590.0,3.5,115045.0,Medium,Fast
595,BMW,M2,2022,3.0,405.0,406.0,4.2,58900.0,Medium,Fast
936,Aston Martin,Vantage,2022,4.0,503.0,505.0,3.5,149995.0,Medium,Fast
657,Alfa Romeo,Giulia Quadrifoglio,2021,2.9,505.0,443.0,3.8,75000.0,Medium,Fast
59,Audi,S5,2022,3.0,349.0,369.0,4.4,52500.0,Medium,Fast
594,McLaren,570S,2020,3.8,562.0,443.0,3.1,208000.0,Medium,Fast
740,Chevrolet,Camaro SS,2022,6.2,455.0,455.0,4.0,43995.0,Extra Large,Fast
290,Alfa Romeo,Giulia Quadrifoglio,2021,2.9,505.0,443.0,3.8,76400.0,Medium,Fast
21,Bentley,Continental GT,2021,6.0,626.0,664.0,3.6,225000.0,Large,Fast
365,Alpine,A110,2021,1.8,288.0,236.0,4.4,71500.0,Small,Fast
571,Bugatti,Chiron,2021,8.0,1479.0,1180.0,2.5,3000000.0,Extra Large,Fast
176,Lamborghini,Aventador SVJ,2021,6.5,770.0,531.0,2.8,518000.0,Extra Large,Fast
319,Porsche,Panamera Turbo S,2021,4.0,620.0,604.0,2.9,180000.0,Medium,Fast
217,BMW,M2 Competition,2022,3.0,405.0,406.0,4.0,59895.0,Medium,Fast
457,BMW,M4,2022,3.0,473.0,406.0,4.0,72800.0,Medium,Fast
497,Aston Martin,DBS Superleggera,2022,5.2,715.0,664.0,3.4,314500.0,Large,Fast
625,McLaren,Senna,2019,4.0,789.0,590.0,2.7,1050000.0,Medium,Fast
409,Aston Martin,DB11,2021,5.2,630.0,516.0,3.5,205000.0,Large,Fast
359,Jaguar,F-Type R,2022,5.0,575.0,516.0,3.5,103200.0,Large,Fast
906,Jaguar,F-Type,2021,3.0,296.0,295.0,5.4,64700.0,Medium,Medium
139,Ferrari,F8 Tributo,2022,3.9,710.0,568.0,2.9,276550.0,Medium,Fast
909,Lotus,Evora GT,2021,3.5,416.0,317.0,3.8,99990.0,Medium,Fast
102,Porsche,718 Cayman,2022,2.0,300.0,280.0,4.7,60500.0,Small,Fast
443,Audi,RS 5,2022,2.9,444.0,443.0,3.7,75100.0,Medium,Fast
89,Lexus,LC 500,2022,5.0,471.0,398.0,4.4,92950.0,Large,Fast
570,Ferrari,Portofino M,2022,3.9,612.0,560.0,3.5,245000.0,Medium,Fast
389,Tesla,Roadster,2022,4.0,,0.0,1.9,200000.0,Medium,Fast
246,Subaru,WRX STI,2021,2.5,310.0,290.0,4.6,38170.0,Medium,Fast
586,McLaren,570S,2021,3.8,562.0,443.0,3.1,203500.0,Medium,Fast
129,Chevrolet,Camaro ZL1,2021,6.2,650.0,650.0,3.5,62500.0,Extra Large,Fast
828,Alfa Romeo,Giulia Quadrifoglio,2022,2.9,505.0,443.0,3.8,83250.0,Medium,Fast
20,Ariel,Atom,2021,2.0,320.0,243.0,2.8,75000.0,Small,Fast
965,Tesla,Model S Plaid,2022,,,,1.9,141190.0,,Fast
73,Nissan,370Z,2021,3.7,332.0,270.0,5.0,30090.0,Medium,Medium
110,Ford,GT,2022,3.5,660.0,550.0,2.8,500000.0,Medium,Fast
313,Jaguar,F-Type,2021,5.0,575.0,516.0,3.5,103200.0,Large,Fast
527,Tesla,Model S Plaid,2022,,1020.0,1050.0,1.98,140000.0,,Fast
106,McLaren,GT,2021,4.0,612.0,465.0,3.1,212500.0,Medium,Fast
